id,name,type_code,is_intervention,is_international
648,Young Turks Counter-Coup of 1909,4,,False
649,Bluefields Insurrection of 1909-1910,4,,False
650,Second Albanian Revolt of 1910-1912,5,,False
650.8,Hawran Druze Rebellion of 1910 ,5,,False
652,Third Mexican War of 1910-1914,4,,True
656,Paraguayan Radical Liberal Rebellion of 1911-1912,4,,False
657,First Nationalist Revolution of 1911,4,,False
657.3,War of  Ecuadorian Generals of 1912,4,,False
658,Cuban Black Uprising of 1912,5,,False
665,Second Nationalist Revolution of 1913,5,,False
667,Ecuadorian Civil War of 1913-1916,4,,False
672,China Pai Ling (White Wolf) War of 1914,5,,False
672.5,Contestado Rebellion of 1914-1915,5,,False
673,Fourth Mexican War of 1914-1920,4,,True
674,Anti-Monarchy War of 1915-1916,4,,False
675,Russian Turkestan Revolt of 1916-1917,5,,False
675.5,Negus Mikael Revolt of 1916-1917,4,,False
676,First Yunnan-Sichuan War of 1917,6,,False
676.5,Southern China Revolt of 1917-1918,5,,False
677,Russian Civil War of 1917-1920,4,,True
680,Finnish Civil War of 1918,4,,True
681,Western Ukrainian War of 1918-1919,6,,True
682,Sparticist Rising of 1919,7,,False
683,Hungary's Red and White Terror of 1919-1920,4,,False
684,Second Yunnan-Sichuan War of 1920,6,,False
684.5,Gilan Marxists Rebellion of 1920-1921,4,,True
685,Zhili-Anfu War of 1920,7,,False
685.5,Dagestan Rebellion of 1920-1921,5,,False
686,Green Rebellion of 1920-1921,5,,False
687,Bashmachi in Turketsan Revolt of 1920-1924,5,,False
688,Italian Fascist War of 1920-1922,7,,False
689,Simko Rebellion of 1921-1922,5,,False
690,Kronstadt Rebellion of 1921,4,,False
691,Far Eastern Republic War of 1921-1923,4,,False
692,First Zhili-Fengtien War of 1922,4,,False
693,Agrarian Rising of 1923,4,,False
695,De La Huerta Rebellion of 1923-1924,4,,False
696,Honduran Conservative War of 1924,4,,False
697,First Afghan Anti-Reform War of 1924-1925,4,,False
697.3,Second Zhili-Fengtien War  of 1924,4,,True
697.6,Shaikh Said's Rebellion of 1925,5,,False
697.8,Labrang War of 1925-1926,7,,False
698,Anti-Fengtien War of 1925-1926,7,,False
700,Chinese Northern Expedition of 1926-1928,4,,True
701,Cristeros Revolt of 1926-1929,4,,False
702,First KMT-CCP War of 1927,7,,False
702.5,Second Gansu Muslim Revolt of 1928-1929,5,,False
703,Ethiopian Northern Resistance of 1928-1930,5,,False
705,Second Afghan Anti-Reform War of 1928-1929,4,,False
707,Escobar Rebellion of 1929,4,,False
707.3,Ikhwan Revolt of 1929-1930,4,,False
707.5,Central Plains War of 1929-1930,4,,False
708,Ararat Revolt of  1930,5,,False
709,Campaign Against Ibrahim Beg of 1930-1931,5,,False
710,Chinese Civil War phase 1 of 1930-1936,4,,False
711,Kumul Rebellion of 1931-1932,6,,False
711.5,Xinjiang Muslim Revolt of 1931-1934,6,,True
712,Matanza War of 1932,4,,False
712.5,Mongolian Armed Uprising of 1932,5,,True
713,Aprista Revolt of 1932,4,,False
715,Paulista Rebellion of 1932,4,,False
715.6,Xinjiang Hui-Uyghur War of 1933-1934,7,,False
716,Fukien Revolt of 1933-1934,4,,False
717,Spainish Miners War of 1934,4,,False
718,Spanish Civil War of 1936-1939,4,,True
718.5,Dersim Revolt of 1937-1938,4,,False
719,KMT-CCP Clashes of 1939-1941,4,,False
719.6,Weyane Rebellion of 1943,5,,False
719.8,Ili Uprising of 1944-1945,5,,False
720,Greek Civil War round 2  of 1944-1945,4,,True
721,Polish Ukrainians War of 1945-1947,5,,True
722,Ukrainian Partisans War of 1945-1947,5,,False
723,Forest Brethren War of 1945-1949,5,,False
723.5,Chinese Civil War phase 2 of 1945-1950,4,,False
